!			G1			A			enclitic particle
!			G1			A			vulture, bird in general							
!			G1			A			vulture, bird in general							
!			G1			A			tread							
!			G1			At			striking-power							
!! V 4			G1-X1-N5-Z1			At			striking-power							
!! V			G1-X1-N5			At			moment, instant, time in general							
!! 8 V			G1-X1-Z5-N5			At			moment, instant, time							
!! V 4			G1-X1-N5-Z1			At			moment, instant, time in general							
!! L			G1-X1-F9			At			moment, instant, time in general							
!! L V !			G1-X1-F9-N5			At			moment, instant, time in general							
FV			F3-X1-N5			At			moment, instant, time in general							
1 !! L V			M17-G1-X1-F9-N5			At			moment, instant, time in general							
!! h 4			G1-G1-N23-Z1			AA			mound of ruins							
!!! ! `.			G1-G1-X1-G1-D40-A14			AAtA			Nubian chieftain ?							
! 1 : `			G1-M17-Z7-P5			Aiw			windy ?							
R# ! 1 ! 1 : `			N1-Q3-X1-G17-G1-M17-Z7-P5			pt m Aiw			a windy sky  ?							
! e C			G1-S29-Aa2			Ais			viscera							
1 e C			M17-S29-Aa2			Ais			viscera							
! 1 1 ! E			G1-M17-M17-X1-G37			Ayt			blanch ?							
!! 8			G1-X1-A24			Ayt			blanch							
!\ K &			G1-D36-G43-Q6			Aaw			container for papyri							
!\ K ]			G1-D36-G43-F27			Aaw			container							
!\ q ! E			G1-D36-D58-X1-G37			Aabt			oppression							
!\ q ! T 5E			G1-D36-D58-X1-F17-G37-Z2			Aabt			oppression							
j K +			F40-G43-Y1			Aw			long of space, time				adjective			
j+			F40-Y1			Aw			long of space, time				adjective			
j K			F40-G43			Aw			long, length of space, time							
j K a			F40-G43-D41			Aw			length of space				noun			
j K + 5			F40-G43-Y1-Z2			Aw			length of space				noun			
j! +			F40-X1-Y1			Awt			length of time, space							
j! K +++			F40-X1-G43-Y1-Y1-Y1			Awt			length of time							
j! K + 5			F40-X1-G43-Y1-Z2			Awt			gifts, food							
j! K c			F40-X1-G43-N18			Awt			gifts							
j! " & `			F40-X1-X2-X6-W22			Awt			gifts, food							
j K 1 1 8			F40-G43-M17-M17-A24			Awy			extend, present, announce, arouse							
j: `			F40-Z7-D40			Awy			extend the arm				verb			
! j K			G1-F40-G43			Awy			announce someone				verb			
j:! \			F40-Z7-X1-D36			Awy			extend the arm				verb			
j K K			F40-G43-G43			Awy			arouse oneself, masturbate				verb			
j K 1 1 8 f! 4			F40-G43-M17-M17-A24-D46-X1-Z1			Awy Drt			lay hands on							
