.sn	O34-Z2, S29, S29-Z3	they, them, their suffix and dependent pronoun
15 nt Hb ???	N63-V20-Z2-Z4A-N35-X1-W3-N5	festival of the 15th of the month 
5 Hryw rnpt	M4-X1-Z2-Z4A-D2-G43	the five epagomenal days 
a	D36-M3, D36-N35A, D36-S25, D36-W10, D36-Y1, D36-Z1, D36-Z1-D56-D54, D36-Z1-N35A, G1	arm, hand, forearm , bowl , condition, state , dragoman , dyke , enclitic particle , item, piece , region, province , track, trace , tread , vulture, bird in general , warrant, certificate , warrant, certificate, record, register , wooden rod 
a xAst	D36-Z1-N25-X1-Z1	desert region 
AA	D36-D36-P1, E7, G1-G1-N23-Z1, O29-D36-D52-F27, O29-D36-G1-A1, O29-D36-G1-M17-M17-N31, O29-D36-G1-N31, O29-D36-G1-Y1, O29-D36-M3, O29-D36-N31, O29-D36-O31, O29-D36-O31-Z1-M3, O29-D52-E7, O29-O31, O29-O31-Z1-M3, O29-Z1-M3, O29V, O29V-G1-Y1V-A1, O31	ass, donkey , column, pillar , column, pillar as part of ship , door , elder son , greatness , here, there, yonder , magnate, elder son , mound of ruins , royal barge 
aA n pr	O29V-G1-Y1V-A1-N35-O1-Z1	majordomo 
aA nTr	R8-O29V	the great god 
aAa	D36-G1-D36-N35A, O29-D36-G1-D36-D53	divine seed sperm , evil influence causing disease , valour ? 
aAb	D36-D36-D58-F16-D40, D36-D36-D58-W10, D36-G1-D58-M19-M1, O29-D36-D58-M19, O29-D36-G1-D58-M43-Y1	bowl , comb the hair , pleasant of persons , pleasing, desirable, of things , selfish 
aAbt	G1-D36-D58-X1-F17-G37-Z2, G1-D36-D58-X1-G37, M19-X1-Y1-Z2, O29-D36-D58-X1-M19-Y1-Z2, O29-D36-G1-D58-X1-M19-Y1-N33A, O29-D36-G1-D58-X1-M43-X4-Z2, O29-D36-G1-D58-X1-M43-Y1-Z2	food, provisions , food, provisions, offerings , offerings , oppression , selfishness 
aAd	O29-D36-G1-D46-Z7-Y1-A24, O29-D36-G1-N5-I10	be pale, pallid 
aAdt	D36-G1-D46-X1-X2, O29-D36-G1-D46-X1-X2	a type of bread , type of bread ? 
aAg	O29-D36-G1-W11-D36, O29-D36-G1-W11-D56, O29-D36-G1-W11-D56-D36	thrash 
aAgt	O29-D36-G1-W11-X1-D56, O29-G1-W11-X1-F123	hoof , hoof, claw, foot 
aAi	D36-D36-D21-Z1-A1, D36-D36-M17-A2, O29, O29-D36-G1-Y1, O29-D36-Y1, O29-Y1, O29V-G1-Y1V	caller , great of quality , great of size , great, plentiful, much, rich, senior , jabber 
aAm	O29-D36-G1-G17-T14-A1, O29-D36-G17-T14-A13, O31-G17-A40, T14-G17-A1, T14-G17-A13, T14-G17-N63A	Asiatic , throwstick 
aAmt	O31-G17-X1-B1	Asiatic woman 
aany	D36-D36-N35-Z4-A24, D36-D36-N35-Z4-O1	camp , coop up, confine ? 
aApp	O29-Q3-Q3-I103	Apep divinity
aAt	O29-D36-G1-X1-Y1, O29-D36-X1, O29-D52-N41-X1-E7, O29-X1, O29-X1-H8, O29-X1-N33, O29-X1-O39, O29-X1-W10, O29-X1-Z5-V1	a great thing , costly stone, metal , female ass, female donkey , linen cloth , metal , stone vessel 
AAtA	G1-G1-X1-G1-D40-A14	Nubian chieftain ? 
Aaw	D36-D36-Z7-A2, G1-D36-G43-F27, G1-D36-G43-Q6, O29, O29-D36-G1-G43-Y1, O29-D36-G1-Y1	container , container for papyri , flutter of heart , greatly 
